Site,National,Co-Op,StoreAddress,City,State,Zip,StorePhone,FName,LName,DOLName,DOFName,FSMLName,FSMFName,BusConsLName,BusConsFName,On 24 Hours,Planning to go on 24 Hours,By Memorial Weekend 5/27,Other Date:,Extended Operating Hours,Current Operating Hours,Planning to Extend Operating Hours,,start_24 Hours List,Memorial Weekend List,Extended Hours List,Will Extended Hours
40005,38,Los Angeles,18761 Sherman Way,Reseda,CA,91335,(818) 881-8385,Ronald,Lopaty,Awad,Ramzi,Lopez,Jessie,Canseco,Carlos,,Open 24/7,Other,6/1/11,,,,,Open 24/7,Memorial Weekend (5/27),5 am to 2 am: Everyday,Yes
40004,39,Los Angeles,6904 La Tijera Blvd.,Los Angeles,CA,90045,(310) 649-5617,Fran,Jones,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,Open 24/3,Other,"5 am to 2 am: Thursday, Friday, Saturday",No
40009,353,Los Angeles,2457 Lincoln Blvd.,Venice,CA,90291,(310) 822-5133,Randy,Garcia,Awad,Ramzi,Akinnagbe,Akins,Pechs,Maria,,Open 24/2,Memorial Weekend (5/27),5/13/11,Other,Sunday to Thursday 5am to 1 am ,Yes,,,,"5 am to 1 am: Thursday, Friday, Saturday",
40021,460,Los Angeles,606 N. Tustin Ave.,Orange,CA,92867,(714) 538-3460,Michael,Rajic,Chew,Sheryl,Brantley,Rick,Markes,Aileen,Open 24/7,,,,,,,,,,5 am to 1 am: Friday and Saturday,
40025,513,Los Angeles,119 West Ball Rd.,Anaheim,CA,92805,(714) 991-3211,Scott,Frisbie,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,Open 24/7,,,,,,,,,,5 am to 12 am: Friday and Saturday,
40012,524,Los Angeles,1127 N. San Fernando Blvd.,Burbank,CA,91504,(818) 842-5878,Richard,Bechguenturian,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,Other,
40035,552,Los Angeles,16908 Parthenia St.,Sepulveda,CA,91343,(818) 894-5554,Steve,Teck,Awad,Ramzi,Lopez,Jessie,Rady,Mohammed,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
40033,561,Los Angeles,801 E. Whittier Blvd.,La Habra,CA,90631,(562) 690-0034,Martin,Ruby,Chew,Sheryl,Brantley,Rick,Yarbrough,Kay,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
40030,572,Los Angeles,1747 West El Segundo Blvd,Gardena,CA,90249,(323) 779-7322,Ti,Chang,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
40042,593,Los Angeles,1701 W. Olive Ave,Burbank,CA,91506,(818) 846-8885,Richard,Bechguenturian,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
40049,616,Los Angeles,9852 Westminister Ave.,Garden Grove,CA,92844,(714) 530-3694,Bob,Nibeel,Chew,Sheryl,Brantley,Rick,Markes,Aileen,Open 24/7,,,,,,,,,,,
40065,724,Los Angeles,5980 Telegraph Rd.,Ventura,CA,93003,(805) 642-9798,Gregory,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
40073,754,Los Angeles,11053 E. Rosecrans Ave.,Norwalk,CA,90650,(562) 863-1112,Peter,Horner,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
40087,777,Los Angeles,1839 W. Chapman Ave.,Orange,CA,92868,(714) 938-0118,Sharon,MacDonald,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,,Open 24/3,Other,6/1/11,Other,5:30am-12:00am,Yes,,,,,
40076,779,Los Angeles,11612 E. Valley Blvd.,El Monte,CA,91732,(626) 579-1047,Robert,Sanchez,Awad,Ramzi,Avila,Humberto,Velasquez,Marlene,Open 24/7,,,,,,,,,,,
40099,807,Los Angeles,1341 S. Brookhurst Rd.,Fullerton,CA,92633,(714) 870-0171,Bryan,Carmack,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
40101,809,Los Angeles,7112 Westminster Ave.,Westminster,CA,92683,(714) 894-4608,Neal,Ruby,Chew,Sheryl,Brantley,Rick,Yarbrough,Kay,Open 24/7,,,,,,,,,,,
40117,855,Los Angeles,2242 University Ave.,Riverside,CA,92507,(951) 683-9798,Tom,Spiel,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
40136,857,Los Angeles,16866 Beach Blvd.,Huntington Beach,CA,92647,(714) 848-1361,Angelo,Lardas,Chew,Sheryl,Brantley,Rick,Ramirez,Lourdes,Open 24/7,,,,,,,,,,,
40130,876,Los Angeles,5930 W. Pico Blvd.,Los Angeles,CA,90028,(323) 933-1089,Patricia,Yoon,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,,Open 24/7,Other,6/30/11,,,,,,,,
40105,903,Los Angeles,1122 E. Huntington Drive,Duarte,CA,91010,(626) 359-0985,Mike,Pernecky,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
40119,905,Los Angeles,1420 W. Manchester Blvd.,Los Angeles,CA,90047,(323) 752-9363,Patricia,Williams,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
40165,938,Los Angeles,3210 W. Lincoln Ave.,Anaheim,CA,92801,(714) 995-9118,Don,Dunkleman,Chew,Sheryl,Brantley,Rick,Markes,Aileen,Open 24/7,,,,,,,,,,,
40157,947,Los Angeles,11055 Burbank Blvd.,North Hollywood,CA,91601,(818) 985-2034,Lucretia,Bechguenturian,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
40153,948,Los Angeles,2861 E. Foothill Blvd.,Pasadena,CA,91107,(626) 792-9713,Mike,Pernecky,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
40164,970,Los Angeles,1419 W. Redondo Beach Bvlc.,Gardena,CA,90247,(310) 324-8619,Ti,Chang,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
40158,983,Los Angeles,117 W. Arrow Hwy.,Glendora,CA,91740,(626) 963-2210,Barbara,Vanderhoop,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
40163,1007,Los Angeles,1100 N. State College Blvd.,Anaheim,CA,92806,(714) 533-2129,Sharon,MacDonald,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,Open 24/7,,,,,,,,,,,
40184,1052,Los Angeles,612 E Redlands Blvd.,Redlands,CA,92373,(909) 793-1516,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
40192,1063,Los Angeles,2838 Crenshaw Blvd.,Los Angeles,CA,90016,(323) 731-0046,Joan,Clark,Awad,Ramzi,Lopez,Jessie,Canseco,Carlos,Open 24/7,,,,,,,,,,,
40199,1121,Los Angeles,7123 Crenshaw Blvd.,Los Angeles,CA,90043,(323) 750-2614,Don,Bailey,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
40208,1127,Los Angeles,1439 N. Bristol Ave.,Santa Ana,CA,92706,(714) 558-1154,Don,Dunkleman,Chew,Sheryl,Brantley,Rick,Markes,Aileen,,Open 24/7,Other,11/1/11,5 am to 12 am: Everyday,,Yes,,,,,
